"","Brand","Price..INR.","Mileage","Seating.Capacity","Vehicle.Type","Fuel.Type","Transmission","Parking.Sensor","Airbag","Cruise.Control","Keyless.Entry","Alloy.wheels","ABS","Climate.Control","Rear.AC.Vent","Power.Steering","cluster","name"
"1","Tata",141898,25.4,4,"Hatchback","Petrol","Manual","No","No","No","No","No","No","No","No","No",3,"Tata Nano Std BSIII"
"2","Tata",145000,25.4,4,"Hatchback","Petrol","Manual","No","No","No","No","No","No","No","No","No",3,"Tata Nano Std"
"3","Tata",150000,25.4,4,"Hatchback","Petrol","Manual","No","No","No","No","No","No","No","No","No",3,"Tata Nano 2013 STD"
"4","Tata",171489,25.4,4,"Hatchback","Petrol","Manual","No","No","No","No","No","No","No","No","No",3,"Tata Nano Cx BSIII"
"5","Tata",191125,25.4,4,"Hatchback","Petrol","Manual","No","No","No","No","No","No","No","No","No",3,"Tata Nano Cx"
"6","Tata",198000,25.4,4,"Hatchback","Petrol","Manual","No","No","No","No","No","No","No","No","No",3,"Tata Nano 2013 CX"
"7","Tata",198605,25.4,4,"Hatchback","Petrol","Manual","No","No","No","No","No","No","No","No","No",3,"Tata Nano Lx BSIII"
"8","Tata",216238,25.4,4,"Hatchback","Petrol","Manual","No","No","No","Yes","No","No","No","No","No",3,"Tata Nano Lx"
"9","Tata",223500,25.4,4,"Hatchback","Petrol","Manual","No","No","No","Yes","No","No","No","No","No",3,"Tata Nano 2013 LX"
"10","Tata",237831,25.4,4,"Hatchback","Petrol","Manual","No","No","No","Yes","No","No","No","No","Yes",3,"Tata Nano Twist XT"
"11","Tata",240145,36,4,"Hatchback","CNG","Manual","No","No","No","No","No","No","No","No","No",3,"Tata Nano CNG CX"
"12","Tata",265260,36,4,"Hatchback","CNG","Manual","No","No","No","No","No","No","No","No","No",3,"Tata Nano CNG LX"
"13","Maruti",215899,16.1,4,"Hatchback","Petrol","Manual","No","No","No","No","No","No","No","No","No",3,"Maruti 800 Std BSIII"
"14","Maruti",238483,16.1,4,"Hatchback","Petrol","Manual","No","No","No","No","No","No","No","No","No",3,"Maruti 800 AC BSIII"
"15","Maruti",220492,10.9,5,"Minivans","LPG","Manual","No","No","No","No","No","No","No","No","No",3,"Maruti Omni LPG CARGO BSIII W/ IMMOBILISER"
"16","Maruti",228389,14.7,5,"Minivans","Petrol","Manual","No","No","No","No","No","No","No","No","No",3,"Maruti Omni MPI CARGO"
"17","Maruti",252425,14.7,5,"Minivans","Petrol","Manual","No","No","No","No","No","No","No","No","No",3,"Maruti Omni MPI STD"
"18","Maruti",254297,14.7,8,"Minivans","Petrol","Manual","No","No","No","No","No","No","No","No","No",2,"Maruti Omni E MPI STD"
"19","Maruti",258463,10.9,5,"Minivans","LPG","Manual","No","No","No","No","No","No","No","No","No",3,"Maruti Omni LPG STD BSIII 5 STR W/ IMMOBILISER"
"20","Maruti",268242,14.7,8,"Minivans","Petrol","Manual","No","No","No","No","No","No","No","No","No",2,"Maruti Omni Limited Edition"
"21","Maruti",285030,14.7,5,"Minivans","Petrol","Manual","No","No","No","No","No","No","No","No","No",3,"Maruti Omni MPI Ambulance"
"22","Maruti",249639,22.74,5,"Hatchback","Petrol","Manual","No","No","No","No","No","No","No","No","No",3,"Maruti Alto 800 Base"
"23","Maruti",286139,22.74,5,"Hatchback","Petrol","Manual","No","No","No","No","No","No","No","No","No",3,"Maruti Alto 800 LX"
"24","Maruti",308639,22.74,5,"Hatchback","Petrol","Manual","No","No","No","No","No","No","No","No","Yes",3,"Maruti Alto 800 LXI"
"25","Maruti",312751,22.74,5,"Hatchback","Petrol","Manual","No","No","No","No","No","No","No","No","Yes",3,"Maruti Alto 800 LXI Anniversary Edition"
"26","Maruti",322220,22.74,5,"Hatchback","Petrol","Manual","No","Yes","No","No","No","No","No","No","Yes",3,"Maruti Alto 800 VXI"
"27","Maruti",324639,22.74,5,"Hatchback","Petrol","Manual","No","Yes","No","No","No","No","No","No","Yes",3,"Maruti Alto 800 LXI Airbag"
"28","Maruti",324639,30.46,5,"Hatchback","CNG","Manual","No","No","No","No","No","No","No","No","No",3,"Maruti Alto 800 CNG Base"
"29","Maruti",340538,22.74,5,"Hatchback","Petrol","Manual","No","Yes","No","No","No","No","No","No","Yes",3,"Maruti Alto 800 VXI Airbag"
"30","Maruti",346639,30.46,5,"Hatchback","CNG","Manual","No","No","No","No","No","No","No","No","No",3,"Maruti Alto 800 CNG LX"
"31","Maruti",365639,30.46,5,"Hatchback","CNG","Manual","No","No","No","No","No","No","No","No","Yes",3,"Maruti Alto 800 CNG LXI"
"32","Hyundai",293457,21.1,5,"Hatchback","Petrol","Manual","No","No","No","No","No","No","No","No","No",3,"Hyundai EON D Lite"
"33","Hyundai",322341,21.1,5,"Hatchback","Petrol","Manual","No","No","No","No","No","No","No","No","Yes",3,"Hyundai EON D Lite Plus"
"34","Hyundai",336613,21.1,5,"Hatchback","Petrol","Manual","No","No","No","No","No","No","No","No","Yes",3,"Hyundai EON Era Plus"
"35","Hyundai",349012,21.1,5,"Hatchback","LPG","Manual","No","No","No","No","No","No","No","No","Yes",3,"Hyundai EON LPG D Lite Plus"
"36","Hyundai",363294,21.1,5,"Hatchback","LPG","Manual","No","No","No","No","No","No","No","No","Yes",3,"Hyundai EON LPG Era Plus"
"37","Hyundai",367156,21.1,5,"Hatchback","Petrol","Manual","No","No","No","No","No","No","No","No","Yes",3,"Hyundai EON Magna Plus"
"38","Hyundai",393826,21.1,5,"Hatchback","LPG","Manual","No","No","No","No","No","No","No","No","Yes",3,"Hyundai EON LPG Magna Plus"
"39","Hyundai",395688,21.1,5,"Hatchback","Petrol","Manual","No","Yes","No","Yes","No","No","No","No","Yes",3,"Hyundai EON Sportz"
"40","Hyundai",309458,17.8,5,"Hatchback","Petrol","Manual","No","No","No","No","No","No","No","No","No",3,"Hyundai Santro Xing (Non AC)"
"41","Hyundai",377975,17.92,5,"Hatchback","Petrol","Manual","No","No","No","Yes","No","No","No","No","Yes",3,"Hyundai Santro Xing GL Plus"
"42","Hyundai",389965,17.92,5,"Hatchback","Petrol","Manual","No","No","No","Yes","No","No","No","No","Yes",3,"Hyundai Santro Xing Celebration Edition"
"43","Hyundai",398482,11.88,5,"Hatchback","LPG","Manual","No","No","No","Yes","No","No","No","No","Yes",3,"Hyundai Santro Xing GL Plus LPG"
"44","Hyundai",400524,17.92,5,"Hatchback","Petrol","Manual","No","No","No","Yes","No","No","No","No","Yes",3,"Hyundai Santro Xing GLS"
"45","Hyundai",410474,11.88,5,"Hatchback","LPG","Manual","No","No","No","Yes","No","No","No","No","Yes",3,"Hyundai Santro Xing GL Plus LPG Special Edition"
"46","Hyundai",415865,11.88,5,"Hatchback","LPG","Manual","No","No","No","Yes","No","No","No","No","Yes",3,"Hyundai Santro Xing GLS LPG"
"47","Maruti",312233,15.1,5,"Minivans","Petrol","Manual","No","No","No","No","No","No","No","No","No",3,"Maruti Eeco 5 Seater Standard"
"48","Maruti",329278,15.1,7,"Minivans","Petrol","Manual","No","No","No","No","No","No","No","No","No",2,"Maruti Eeco 7 Seater Standard"
"49","Maruti",342277,15.1,5,"Minivans","Petrol","Manual","No","No","No","No","No","No","No","No","No",3,"Maruti Eeco 5 Seater AC"
"50","Maruti",378800,20,5,"Minivans","CNG","Manual","No","No","No","No","No","No","No","No","No",3,"Maruti Eeco CNG HTR 5 STR"
"51","Maruti",380138,15.1,5,"Minivans","Petrol","Manual","No","No","No","No","No","No","No","No","No",3,"Maruti Eeco Ambulance Petrol AC Plus HTR"
"52","Maruti",415021,20,5,"Minivans","CNG","Manual","No","No","No","No","No","No","No","No","No",3,"Maruti Eeco CNG 5 Seater AC"
"53","Maruti",417450,20,5,"Minivans","CNG","Manual","No","No","No","No","No","No","No","No","No",3,"Maruti Eeco Flexi Green"
"54","Maruti",330222,20.2,5,"Hatchback","Petrol","Manual","No","No","No","No","No","No","No","No","Yes",3,"Maruti Alto K10 LXI"
"55","Maruti",343462,20.2,5,"Hatchback","Petrol","Manual","No","No","No","No","No","No","No","No","Yes",3,"Maruti Alto K10 VXI"
"56","Chevrolet",333998,18,5,"Hatchback","Petrol","Manual","No","No","No","No","No","No","No","No","No",3,"Chevrolet Spark 1.0 BS3"
"57","Chevrolet",352449,18,5,"Hatchback","Petrol","Manual","No","No","No","No","No","No","No","No","No",3,"Chevrolet Spark 1.0"
"58","Chevrolet",360566,18,5,"Hatchback","Petrol","Manual","No","No","No","No","No","No","No","No","Yes",3,"Chevrolet Spark 1.0 LS BS3"
"59","Chevrolet",380408,18,5,"Hatchback","Petrol","Manual","No","No","No","No","No","No","No","No","Yes",3,"Chevrolet Spark 1.0 LS"
"60","Chevrolet",387347,13.2,5,"Hatchback","LPG","Manual","No","No","No","No","No","No","No","No","Yes",3,"Chevrolet Spark 1.0 LS LPG"
"61","Chevrolet",389771,18,5,"Hatchback","Petrol","Manual","No","No","No","No","No","No","No","No","Yes",3,"Chevrolet Spark 1.0 LT BS3"
